experiment,scenario,family,algorithm,parameter_name,parameter_value,seed,horizon,final_regret,final_reward,final_optimal_arm_rate
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62026,10000,178.71999999999997,1251.0,0.7015
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62026,10000,348.53,1097.0,0.3596
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62026,10000,341.21999999999997,1103.0,0.3959
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62026,10000,346.99999999999994,1106.0,0.3637
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62026,10000,243.38,1188.0,0.5527
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62026,10000,272.65,1172.0,0.4653
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62026,10000,306.09,1114.0,0.4448
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62026,10000,226.86999999999998,1209.0,0.5654
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62026,10000,221.66,1223.0,0.5961
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62026,10000,275.35999999999996,1182.0,0.4783
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62026,10000,211.57,1228.0,0.5722
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62026,10000,211.57,1228.0,0.5722
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62026,10000,211.57,1228.0,0.5722
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62027,10000,217.17,1331.0,0.5773
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62027,10000,311.28,1214.0,0.4444
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62027,10000,292.43,1234.0,0.4659
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62027,10000,291.67999999999995,1251.0,0.464
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62027,10000,241.12999999999994,1284.0,0.5597
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62027,10000,297.46999999999997,1221.0,0.4499
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62027,10000,291.03,1216.0,0.4668
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62027,10000,222.97,1300.0,0.5802
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62027,10000,248.79999999999998,1277.0,0.5283
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62027,10000,248.95,1281.0,0.5248
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62027,10000,220.15,1313.0,0.5977
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62027,10000,251.32,1270.0,0.4751
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62027,10000,251.23999999999998,1273.0,0.4978
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62028,10000,155.52999999999997,1308.0,0.7375
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62028,10000,306.17,1162.0,0.4708
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62028,10000,326.0,1138.0,0.4191
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62028,10000,323.92999999999995,1129.0,0.4162
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62028,10000,241.63,1209.0,0.5498
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62028,10000,258.61,1207.0,0.4913
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62028,10000,304.89,1157.0,0.4406
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62028,10000,209.41999999999996,1245.0,0.6031
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62028,10000,201.65999999999997,1258.0,0.6383
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62028,10000,245.87999999999994,1200.0,0.5323
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62028,10000,202.38,1245.0,0.6349
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62028,10000,200.02999999999997,1270.0,0.6472
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62028,10000,210.97999999999996,1240.0,0.6358
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62029,10000,139.67,1315.0,0.7348
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62029,10000,319.46999999999997,1153.0,0.448
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62029,10000,325.72999999999996,1155.0,0.4328
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62029,10000,361.83,1083.0,0.3553
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62029,10000,245.98999999999998,1213.0,0.5413
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62029,10000,281.9,1207.0,0.4807
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62029,10000,279.44,1195.0,0.4637
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62029,10000,217.92,1261.0,0.5447
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62029,10000,236.44,1209.0,0.5558
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62029,10000,248.55999999999997,1196.0,0.5235
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62029,10000,205.59999999999997,1255.0,0.5652
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62029,10000,232.00999999999996,1227.0,0.5484
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62029,10000,270.09,1223.0,0.5039
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62030,10000,155.07999999999998,1362.0,0.7294
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62030,10000,309.12,1198.0,0.4075
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62030,10000,298.13,1210.0,0.454
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62030,10000,317.28,1189.0,0.4254
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62030,10000,207.78999999999996,1310.0,0.6194
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62030,10000,272.97999999999996,1240.0,0.4614
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62030,10000,264.11,1245.0,0.483
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62030,10000,207.05999999999995,1291.0,0.6083
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62030,10000,211.16999999999996,1311.0,0.5801
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62030,10000,248.87999999999994,1259.0,0.5235
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62030,10000,224.24999999999997,1274.0,0.5575
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62030,10000,222.34999999999997,1296.0,0.5897
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62030,10000,234.86999999999995,1276.0,0.5591
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62031,10000,196.61999999999998,1329.0,0.6122
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62031,10000,309.03999999999996,1188.0,0.4343
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62031,10000,328.03,1179.0,0.4001
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62031,10000,314.93999999999994,1201.0,0.4226
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62031,10000,249.92999999999995,1257.0,0.5464
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62031,10000,270.86,1223.0,0.4719
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62031,10000,291.0199999999999,1223.0,0.4981
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62031,10000,173.65999999999997,1343.0,0.6569
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62031,10000,221.29999999999998,1285.0,0.6134
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62031,10000,258.41999999999996,1242.0,0.5349
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62031,10000,208.25,1305.0,0.613
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62031,10000,227.82000000000002,1285.0,0.5399
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62031,10000,222.20999999999998,1305.0,0.591
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62032,10000,212.48999999999998,1256.0,0.6199
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62032,10000,315.9,1174.0,0.4392
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62032,10000,314.88,1199.0,0.4087
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62032,10000,337.28999999999996,1164.0,0.3653
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62032,10000,212.98999999999998,1233.0,0.6305
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62032,10000,317.71,1142.0,0.4088
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62032,10000,315.26,1159.0,0.411
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62032,10000,207.91999999999996,1280.0,0.5881
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62032,10000,229.83999999999997,1247.0,0.5408
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62032,10000,241.97999999999996,1237.0,0.5402
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62032,10000,212.04999999999998,1283.0,0.5997
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62032,10000,232.42999999999998,1261.0,0.5546
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62032,10000,236.78999999999996,1263.0,0.546
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62033,10000,208.10999999999999,1311.0,0.5855
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62033,10000,334.65999999999997,1200.0,0.3843
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62033,10000,347.78,1185.0,0.3642
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62033,10000,352.78,1179.0,0.3696
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62033,10000,267.18,1254.0,0.4826
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62033,10000,307.42999999999995,1211.0,0.4441
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62033,10000,341.53999999999996,1183.0,0.3628
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62033,10000,252.47999999999996,1274.0,0.4932
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62033,10000,269.22999999999996,1255.0,0.4749
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62033,10000,278.7,1233.0,0.4986
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62033,10000,283.08,1230.0,0.4392
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62033,10000,195.79999999999998,1322.0,0.6261
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62033,10000,282.41999999999996,1253.0,0.4468
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62034,10000,169.10999999999996,1341.0,0.6645
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62034,10000,269.65999999999997,1254.0,0.5187
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62034,10000,347.08,1157.0,0.3645
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62034,10000,333.82,1182.0,0.4034
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62034,10000,279.43999999999994,1240.0,0.4752
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62034,10000,278.04999999999995,1236.0,0.5001
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62034,10000,297.17999999999995,1218.0,0.4655
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62034,10000,226.93999999999997,1283.0,0.5516
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62034,10000,238.28999999999996,1284.0,0.5655
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62034,10000,277.34,1220.0,0.4738
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62034,10000,194.65999999999997,1309.0,0.6165
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62034,10000,194.65999999999997,1309.0,0.6165
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=600,threshold_cooldown,0.08|600,62034,10000,194.65999999999997,1309.0,0.6165
adaptive_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,62035,10000,146.62,1335.0,0.7354
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=100,threshold_cooldown,0.02|100,62035,10000,314.71999999999997,1160.0,0.4145
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=300,threshold_cooldown,0.02|300,62035,10000,320.15999999999997,1152.0,0.4066
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.02 cooldown=600,threshold_cooldown,0.02|600,62035,10000,343.7699999999999,1135.0,0.3706
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=100,threshold_cooldown,0.04|100,62035,10000,250.26999999999995,1232.0,0.5292
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=300,threshold_cooldown,0.04|300,62035,10000,288.03999999999996,1208.0,0.4673
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.04 cooldown=600,threshold_cooldown,0.04|600,62035,10000,262.34000000000003,1214.0,0.4912
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=100,threshold_cooldown,0.06|100,62035,10000,220.39999999999998,1264.0,0.5479
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=300,threshold_cooldown,0.06|300,62035,10000,230.26,1249.0,0.5659
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.06 cooldown=600,threshold_cooldown,0.06|600,62035,10000,234.89,1235.0,0.5586
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=100,threshold_cooldown,0.08|100,62035,10000,225.01,1260.0,0.559
adaptive_sweep,single_reversal,Adaptive-SW-TS,Adaptive threshold=0.08 cooldown=300,threshold_cooldown,0.08|300,62035,10000,204.99999999999997,1291.0,0.6116
